Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR23609082_1	(17.0, 4.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 10.0)	(21.0, 29.0)	(22.0, 97.0)	(23.0, 217.0)	(24.0, 407.0)	(25.0, 675.0)	(26.0, 1096.0)	(27.0, 1661.0)	(28.0, 2265.0)	(29.0, 2974.0)	(30.0, 3862.0)	(31.0, 5585.0)	(32.0, 8870.0)	(33.0, 18113.0)	(34.0, 32907.0)	(35.0, 43622.0)	(36.0, 81108.0)	(37.0, 711.0)							
SRR23609082_2	(15.0, 4.0)	(16.0, 5.0)	(17.0, 16.0)	(18.0, 10.0)	(19.0, 25.0)	(20.0, 54.0)	(21.0, 92.0)	(22.0, 183.0)	(23.0, 318.0)	(24.0, 449.0)	(25.0, 715.0)	(26.0, 953.0)	(27.0, 1297.0)	(28.0, 1702.0)	(29.0, 2224.0)	(30.0, 2695.0)	(31.0, 3765.0)	(32.0, 5087.0)	(33.0, 7212.0)	(34.0, 12164.0)	(35.0, 36441.0)	(36.0, 128294.0)	(37.0, 518.0)					
SRR23609083_1	(16.0, 1.0)	(17.0, 0.0)	(18.0, 7.0)	(19.0, 2.0)	(20.0, 10.0)	(21.0, 26.0)	(22.0, 68.0)	(23.0, 146.0)	(24.0, 268.0)	(25.0, 498.0)	(26.0, 744.0)	(27.0, 1046.0)	(28.0, 1413.0)	(29.0, 1768.0)	(30.0, 2343.0)	(31.0, 3027.0)	(32.0, 4193.0)	(33.0, 6236.0)	(34.0, 11115.0)	(35.0, 36456.0)	(36.0, 71500.0)	(37.0, 405.0)						
SRR23609083_2	(15.0, 3.0)	(16.0, 4.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 14.0)	(20.0, 30.0)	(21.0, 69.0)	(22.0, 138.0)	(23.0, 214.0)	(24.0, 331.0)	(25.0, 517.0)	(26.0, 696.0)	(27.0, 935.0)	(28.0, 1220.0)	(29.0, 1615.0)	(30.0, 1924.0)	(31.0, 2711.0)	(32.0, 3558.0)	(33.0, 5086.0)	(34.0, 8869.0)	(35.0, 25927.0)	(36.0, 87051.0)	(37.0, 349.0)					
SRR23609084_1	(17.0, 1.0)	(18.0, 4.0)	(19.0, 3.0)	(20.0, 9.0)	(21.0, 20.0)	(22.0, 45.0)	(23.0, 118.0)	(24.0, 240.0)	(25.0, 483.0)	(26.0, 742.0)	(27.0, 1118.0)	(28.0, 1666.0)	(29.0, 2292.0)	(30.0, 2880.0)	(31.0, 3770.0)	(32.0, 5162.0)	(33.0, 7704.0)	(34.0, 13961.0)	(35.0, 43991.0)	(36.0, 98569.0)	(37.0, 760.0)							
SRR23609084_2	(15.0, 2.0)	(16.0, 5.0)	(17.0, 9.0)	(18.0, 13.0)	(19.0, 13.0)	(20.0, 41.0)	(21.0, 68.0)	(22.0, 117.0)	(23.0, 176.0)	(24.0, 313.0)	(25.0, 468.0)	(26.0, 717.0)	(27.0, 1021.0)	(28.0, 1461.0)	(29.0, 1878.0)	(30.0, 2540.0)	(31.0, 3190.0)	(32.0, 4345.0)	(33.0, 6462.0)	(34.0, 11017.0)	(35.0, 31405.0)	(36.0, 117709.0)	(37.0, 568.0)					
SRR23609085_1	(17.0, 3.0)	(18.0, 6.0)	(19.0, 11.0)	(20.0, 13.0)	(21.0, 16.0)	(22.0, 44.0)	(23.0, 107.0)	(24.0, 235.0)	(25.0, 348.0)	(26.0, 574.0)	(27.0, 865.0)	(28.0, 1129.0)	(29.0, 1564.0)	(30.0, 2083.0)	(31.0, 2658.0)	(32.0, 3705.0)	(33.0, 5679.0)	(34.0, 10675.0)	(35.0, 30785.0)	(36.0, 77514.0)	(37.0, 590.0)							
SRR23609085_2	(15.0, 2.0)	(16.0, 5.0)	(17.0, 10.0)	(18.0, 11.0)	(19.0, 18.0)	(20.0, 22.0)	(21.0, 60.0)	(22.0, 105.0)	(23.0, 171.0)	(24.0, 254.0)	(25.0, 413.0)	(26.0, 590.0)	(27.0, 787.0)	(28.0, 1021.0)	(29.0, 1432.0)	(30.0, 1679.0)	(31.0, 2291.0)	(32.0, 3141.0)	(33.0, 4457.0)	(34.0, 7799.0)	(35.0, 21523.0)	(36.0, 92389.0)	(37.0, 424.0)					
SRR23609086_1	(3.0, 408.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 196010.0)
SRR23609086_2	(3.0, 593.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 195825.0)
