Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609082_1	(1, 0.0)	(2, 0.0019586432478222336)	(3, 0.02154507572604457)	(4, 0.0)	(5, 0.0024483040597777918)	(6, 0.07785606910093379)	(7, 0.0)	(8, 0.011262198674977842)	(9, 0.0)	(10, 0.005484201093902253)	(15, 0.00470074379477336)	(20, 0.0006855251367377817)	(25, 0.00812836947846227)	(30, 0.004798675957164472)	(35, 0.011360130837368955)	(40, 0.010870470025413395)	(45, 0.005484201093902253)	(50, 0.006267658393031147)	(55, 0.010478741375848949)	(60, 0.018998839503875667)	(65, 0.008813894615200052)	(70, 0.008030437316071157)	(75, 0.015081553008231198)	(80, 0.008422165965635605)	(85, 0.016158806794533426)	(90, 0.012339452461280072)	(95, 0.003329693521297797)	(100, 0.013416706247582299)	(105, 0.004015218658035578)	(110, 0.004309015145208914)	(115, 0.02046782193974234)	(120, 0.0031338291965155736)	(125, 0.01919470382865789)	(130, 0.008030437316071157)	(135, 0.00352555784608002)	(140, 0.00176277892304001)	(145, 0.0037214221708622435)	(150, 0.0024483040597777918)
SRR23609082_2	(1, 0.0)	(2, 0.011751859486933402)	(3, 0.00930355542715561)	(4, 0.007344912179333376)	(5, 0.0)	(6, 0.004406947307600026)	(7, 0.008324233803244494)	(8, 0.011751859486933402)	(9, 0.011751859486933402)	(10, 0.010282877051066727)	(15, 0.0057779975810755895)	(20, 0.006169726230640036)	(25, 0.012143588136497848)	(30, 0.008226301640853381)	(35, 0.013514638409973412)	(40, 0.011849791649324513)	(45, 0.007834572991288934)	(50, 0.013612570572364523)	(55, 0.00705111569216004)	(60, 0.009695284076720056)	(65, 0.010674605700631173)	(70, 0.0048966081195555835)	(75, 0.010380809213457838)	(80, 0.0028400327093422387)	(85, 0.008618030290417827)	(90, 0.01400429922192897)	(95, 0.004309015145208914)	(100, 0.00989114840150228)	(105, 0.006953183529768929)	(110, 0.007442844341724487)	(115, 0.0064635227178133706)	(120, 0.00940148758954672)	(125, 0.020859550589306785)	(130, 0.012731181110844519)	(135, 0.01625673895692454)	(140, 0.010087012726284502)	(145, 0.018509178691920106)	(150, 0.0009793216239111168)
SRR23609083_1	(1, 0.0)	(2, 0.0007078543518885554)	(3, 0.021943484908545217)	(4, 0.0)	(5, 0.0028314174075542214)	(6, 0.07574041565207543)	(7, 0.0)	(8, 0.016280650093436776)	(9, 0.0)	(10, 0.004388696981709044)	(15, 0.004530267852086755)	(20, 0.00028314174075542216)	(25, 0.009485248315306644)	(30, 0.003822413500198199)	(35, 0.0101931026671952)	(40, 0.009909960926439776)	(45, 0.006087547426241576)	(50, 0.007220114389263265)	(55, 0.012033523982105441)	(60, 0.015997508352681353)	(65, 0.007503256130018687)	(70, 0.009626819185684353)	(75, 0.014015516167393396)	(80, 0.009485248315306644)	(85, 0.014581799648904242)	(90, 0.012175094852483153)	(95, 0.002689846537176511)	(100, 0.012033523982105441)	(105, 0.0029729882779319324)	(110, 0.0039639843705759105)	(115, 0.020669347075145818)	(120, 0.003256130018687355)	(125, 0.019961492723257264)	(130, 0.007361685259640977)	(135, 0.003256130018687355)	(140, 0.0016988504445325328)	(145, 0.0036808426298204884)	(150, 0.0077863978707741095)
SRR23609083_2	(1, 0.0)	(2, 0.00920210657455122)	(3, 0.0077863978707741095)	(4, 0.0042471261113313325)	(5, 0.0)	(6, 0.0028314174075542214)	(7, 0.005662834815108443)	(8, 0.008494252222662665)	(9, 0.011325669630216886)	(10, 0.00906053570417351)	(15, 0.004105555240953621)	(20, 0.004671838722464466)	(25, 0.009909960926439776)	(30, 0.00651226003737471)	(35, 0.012033523982105441)	(40, 0.010759386148706043)	(45, 0.008777393963418088)	(50, 0.012882949204371708)	(55, 0.006370689166996998)	(60, 0.009626819185684353)	(65, 0.010334673537572909)	(70, 0.00651226003737471)	(75, 0.00920210657455122)	(80, 0.0018404213149102442)	(85, 0.00920210657455122)	(90, 0.01429865790814882)	(95, 0.004530267852086755)	(100, 0.010334673537572909)	(105, 0.00651226003737471)	(110, 0.005804405685486154)	(115, 0.004671838722464466)	(120, 0.00651226003737471)	(125, 0.02081091794552353)	(130, 0.012599807463616285)	(135, 0.015148083130415085)	(140, 0.008918964833795798)	(145, 0.01826264227872473)	(150, 0.0014157087037771107)
SRR23609084_1	(1, 0.0)	(2, 0.0021793851954363674)	(3, 0.013076311172618205)	(4, 0.0)	(5, 0.0021793851954363674)	(6, 0.07518878924255468)	(7, 0.0)	(8, 0.014166003770336388)	(9, 0.0)	(10, 0.0037049548322418244)	(15, 0.0053394937288191)	(20, 0.00010896925977181836)	(25, 0.007736817443799103)	(30, 0.0037049548322418244)	(35, 0.011114864496725474)	(40, 0.011659710795584565)	(45, 0.0047946474299600085)	(50, 0.006211247806993647)	(55, 0.010896925977181837)	(60, 0.016345388965772756)	(65, 0.008499602262201832)	(70, 0.008826510041517287)	(75, 0.014492911549651844)	(80, 0.009807233379463653)	(85, 0.01274940339330275)	(90, 0.010896925977181837)	(95, 0.0022883544552081856)	(100, 0.011005895236953656)	(105, 0.00337804705292637)	(110, 0.003595985572470006)	(115, 0.0201593130577864)	(120, 0.0020704159356645492)	(125, 0.019614466758927307)	(130, 0.007518878924255468)	(135, 0.003595985572470006)	(140, 0.0010896925977181837)	(145, 0.0047946474299600085)	(150, 0.006538155586309102)
SRR23609084_2	(1, 0.0)	(2, 0.009262387080604562)	(3, 0.006538155586309102)	(4, 0.003813924092013643)	(5, 0.0)	(6, 0.003269077793154551)	(7, 0.007627848184027286)	(8, 0.013076311172618205)	(9, 0.008172694482886378)	(10, 0.009589294859920017)	(15, 0.005121555209275463)	(20, 0.005012585949503645)	(25, 0.010243110418550926)	(30, 0.007845786703570922)	(35, 0.014166003770336388)	(40, 0.010134141158779109)	(45, 0.007518878924255468)	(50, 0.01351218821170548)	(55, 0.006102278547221829)	(60, 0.011223833756497293)	(65, 0.0106789874576382)	(70, 0.006102278547221829)	(75, 0.01133280301626911)	(80, 0.0028332007540672775)	(85, 0.009153417820832743)	(90, 0.01340321895193366)	(95, 0.0053394937288191)	(100, 0.00991620263923547)	(105, 0.005557432248362737)	(110, 0.005884340027678192)	(115, 0.0053394937288191)	(120, 0.007627848184027286)	(125, 0.02092209787618913)	(130, 0.012204557094443657)	(135, 0.0160184811864573)	(140, 0.00991620263923547)	(145, 0.016236419706000937)	(150, 0.004903616689731827)
SRR23609085_1	(1, 0.0)	(2, 0.001442959799139996)	(3, 0.026694756284089922)	(4, 0.0)	(5, 0.001442959799139996)	(6, 0.0699835502582898)	(7, 0.0)	(8, 0.013708118091829962)	(9, 0.0)	(10, 0.005916135176473983)	(15, 0.004328879397419988)	(20, 0.0005771839196559984)	(25, 0.00721479899569998)	(30, 0.0027416236183659924)	(35, 0.011399382413205967)	(40, 0.008657758794839977)	(45, 0.004617471357247987)	(50, 0.006349023116215983)	(55, 0.011687974373033967)	(60, 0.015872557790539955)	(65, 0.007791982915355979)	(70, 0.008080574875183977)	(75, 0.014862485931141959)	(80, 0.00721479899569998)	(85, 0.015295373870883956)	(90, 0.013419526132001963)	(95, 0.0018758477388819948)	(100, 0.012986638192259963)	(105, 0.0038959914576779894)	(110, 0.0023087356786239935)	(115, 0.023087356786239938)	(120, 0.0015872557790539957)	(125, 0.019479957288389943)	(130, 0.007070503015785981)	(135, 0.004040287437591989)	(140, 0.002164439698709994)	(145, 0.004040287437591989)	(150, 0.00360739949784999)
SRR23609085_2	(1, 0.0)	(2, 0.006493319096129982)	(3, 0.010100718593979973)	(4, 0.002885919598279992)	(5, 0.0)	(6, 0.002164439698709994)	(7, 0.011543678393119969)	(8, 0.005771839196559984)	(9, 0.008657758794839977)	(10, 0.013708118091829962)	(15, 0.004328879397419988)	(20, 0.006204727136301982)	(25, 0.012986638192259963)	(30, 0.005771839196559984)	(35, 0.014141006031571961)	(40, 0.013275230152087964)	(45, 0.006637615076043982)	(50, 0.012698046232431965)	(55, 0.005771839196559984)	(60, 0.006204727136301982)	(65, 0.01096649447346397)	(70, 0.006204727136301982)	(75, 0.009956422614065971)	(80, 0.001442959799139996)	(85, 0.007791982915355979)	(90, 0.013563822111915962)	(95, 0.00360739949784999)	(100, 0.009812126634151973)	(105, 0.007503390955527979)	(110, 0.00721479899569998)	(115, 0.0049060633170759866)	(120, 0.008080574875183977)	(125, 0.02034573316787394)	(130, 0.015872557790539955)	(135, 0.016016853770453955)	(140, 0.01082219849354997)	(145, 0.016161149750367955)	(150, 0.00360739949784999)
SRR23609086_1	(1, 0.0)	(2, 0.0020364732356505004)	(3, 0.022910323901068133)	(4, 0.0)	(5, 0.003563828162388376)	(6, 0.0646580252319034)	(7, 0.0)	(8, 0.014255312649553504)	(9, 0.0)	(10, 0.005294830412691302)	(15, 0.004785712103778676)	(20, 0.00020364732356505005)	(25, 0.006414890692299076)	(30, 0.003665651824170901)	(35, 0.010691484487165127)	(40, 0.010386013501817552)	(45, 0.006109419706951501)	(50, 0.0070258326629942264)	(55, 0.011302426457860278)	(60, 0.01618996222342148)	(65, 0.008553187589732102)	(70, 0.009265953222209777)	(75, 0.011913368428555428)	(80, 0.010487837163600078)	(85, 0.01720819884124673)	(90, 0.010895131810730178)	(95, 0.0041747701330835255)	(100, 0.011302426457860278)	(105, 0.0031565335152582757)	(110, 0.002851062529910701)	(115, 0.02067020334185258)	(120, 0.003971122809518476)	(125, 0.01883737742976713)	(130, 0.0065167143540816016)	(135, 0.002749238868128176)	(140, 0.0025455915445631258)	(145, 0.005193006750908776)	(150, 0.007636774633689377)
SRR23609086_2	(1, 0.0)	(2, 0.008655011251514626)	(3, 0.007127656324776752)	(4, 0.004072946471301001)	(5, 0.0)	(6, 0.004582064780213626)	(7, 0.005600301398038876)	(8, 0.010182366178252503)	(9, 0.010691484487165127)	(10, 0.012117015752120477)	(15, 0.004785712103778676)	(20, 0.005702125059821402)	(25, 0.013949841664205929)	(30, 0.006109419706951501)	(35, 0.010691484487165127)	(40, 0.013848018002423404)	(45, 0.005702125059821402)	(50, 0.013542547017075829)	(55, 0.006822185339429176)	(60, 0.010386013501817552)	(65, 0.011913368428555428)	(70, 0.0065167143540816016)	(75, 0.010589660825382603)	(80, 0.0019346495738679756)	(85, 0.008451363927949576)	(90, 0.012015192090337952)	(95, 0.004683888441996151)	(100, 0.009164129560427252)	(105, 0.005396654074473826)	(110, 0.007331303648341802)	(115, 0.003971122809518476)	(120, 0.007840421957254427)	(125, 0.02005926137115743)	(130, 0.012015192090337952)	(135, 0.01639360954698653)	(140, 0.009469600545774826)	(145, 0.015069901943813704)	(150, 0.004072946471301001)
