Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609082_1	(1, 33.582671883186514)	(2, 35.556215509516555)	(3, 36.03117670389721)	(4, 36.36367108503939)	(5, 36.3649001336774)	(6, 36.27653104694378)	(7, 36.22886746350803)	(8, 36.233445792099815)	(9, 36.270185042820835)	(10, 36.28126312903052)	(15, 36.27809306493392)	(20, 36.26072185796899)	(25, 36.14680324938915)	(30, 36.19172962888607)	(35, 36.20710791634635)	(40, 36.1651292949374)	(45, 36.19939673787967)	(50, 36.2151295397678)	(55, 36.23005342199458)	(60, 36.03763141272041)	(65, 36.00889321966673)	(70, 35.88762969890756)	(75, 35.63898875249115)	(80, 35.18921571027749)	(85, 35.11878975433717)	(90, 34.65559412994619)	(95, 34.12130954887549)	(100, 33.80600226223295)	(105, 33.58373934375659)	(110, 33.333499165128316)	(115, 33.00963358681442)	(120, 32.887529808101924)	(125, 32.79028806745568)	(130, 33.042657291294326)	(135, 32.80212904521038)	(140, 32.843813870132166)	(145, 33.06454121230224)	(150, 31.157935198288147)
SRR23609082_2	(1, 32.29688135028866)	(2, 35.84156045107554)	(3, 35.78085720021741)	(4, 36.03123546319465)	(5, 36.017275233445794)	(6, 36.233842417357494)	(7, 36.15954128575136)	(8, 36.19702971751468)	(9, 36.20121142084878)	(10, 36.17246931050861)	(15, 36.17995524500179)	(20, 36.1094078531801)	(25, 36.02047565651273)	(30, 36.06434534797745)	(35, 36.10120505525822)	(40, 36.07215935521464)	(45, 36.08014376441439)	(50, 36.06707961395141)	(55, 36.03281315033077)	(60, 35.92954956101907)	(65, 35.89876850305793)	(70, 35.65350034031426)	(75, 35.854333743016205)	(80, 35.880030163106014)	(85, 35.901008211611824)	(90, 35.84790547587686)	(95, 35.81922016619088)	(100, 35.78173173442756)	(105, 35.56606062980173)	(110, 35.307928098206375)	(115, 34.85696713886291)	(120, 34.675725065247306)	(125, 34.49471313221331)	(130, 34.47016055978024)	(135, 34.38967697076235)	(140, 34.18992669777644)	(145, 34.331726592989035)	(150, 31.756413332484588)
SRR23609083_1	(1, 33.658545217736)	(2, 35.589642675123166)	(3, 36.047164335466334)	(4, 36.33157313551164)	(5, 36.332160654623706)	(6, 36.2545727391132)	(7, 36.155904921003454)	(8, 36.20265162240217)	(9, 36.2089939973951)	(10, 36.24925533722181)	(15, 36.249020329576986)	(20, 36.24507899654567)	(25, 36.13094597655587)	(30, 36.18183504162184)	(35, 36.18525822526757)	(40, 36.135341752081096)	(45, 36.148044906280084)	(50, 36.171409762727215)	(55, 36.180669913358635)	(60, 35.97202559601337)	(65, 35.946719802933345)	(70, 35.82771249787644)	(75, 35.56929469392377)	(80, 35.17609858995413)	(85, 35.26448977858316)	(90, 35.096664590293905)	(95, 34.901213262359136)	(100, 34.787170847726365)	(105, 34.689520924174644)	(110, 34.528301432697205)	(115, 34.15406591539725)	(120, 33.9790857353191)	(125, 33.9205787417181)	(130, 33.97823347867943)	(135, 33.72622034090266)	(140, 33.69904581233365)	(145, 33.86190186307265)	(150, 31.91558128999377)
SRR23609083_2	(1, 32.332903901693186)	(2, 35.86620844894954)	(3, 35.809417294297525)	(4, 36.06482530154595)	(5, 36.00669630216886)	(6, 36.218196103969646)	(7, 36.15707288068407)	(8, 36.21138654510448)	(9, 36.203614304320745)	(10, 36.17650206693471)	(15, 36.18790276912623)	(20, 36.113316156067725)	(25, 36.029820488136366)	(30, 36.07986437510618)	(35, 36.096595220567416)	(40, 36.07001245823659)	(45, 36.06985389886178)	(50, 36.06142901636559)	(55, 36.027096664590296)	(60, 35.905039922985445)	(65, 35.878322668327755)	(70, 35.62280706721785)	(75, 35.8370703324084)	(80, 35.84484115748344)	(85, 35.85507248428563)	(90, 35.82287218981823)	(95, 35.771067161220905)	(100, 35.74042697774506)	(105, 35.48150376578515)	(110, 35.23348292655304)	(115, 34.74705249447874)	(120, 34.52176935273799)	(125, 34.377485984483826)	(130, 34.33735772127527)	(135, 34.276703097570646)	(140, 34.10585253978142)	(145, 34.2925774392661)	(150, 31.73970779772354)
SRR23609084_1	(1, 33.665464372500516)	(2, 35.540667327746846)	(3, 36.045298521287144)	(4, 36.31763994377186)	(5, 36.33552724776341)	(6, 36.24806307140756)	(7, 36.2203903278885)	(8, 36.20889407098257)	(9, 36.23217535333283)	(10, 36.25325327725049)	(15, 36.25021521428805)	(20, 36.24986433327159)	(25, 36.12286610947052)	(30, 36.194019767023725)	(35, 36.18286894267127)	(40, 36.105587943641105)	(45, 36.144957447504055)	(50, 36.160749272630184)	(55, 36.14372173609824)	(60, 36.07163966045179)	(65, 36.015800542666916)	(70, 35.92095042988373)	(75, 35.769256502740575)	(80, 35.31547908335058)	(85, 35.52165546099446)	(90, 35.35275092896294)	(95, 35.15099107541762)	(100, 35.00906842179821)	(105, 34.95191840381828)	(110, 34.70465298739225)	(115, 34.32908934389609)	(120, 34.27395634691453)	(125, 34.14426440301192)	(130, 34.14434177118635)	(135, 33.90257058483802)	(140, 34.05731565125478)	(145, 33.97670673103117)	(150, 32.176072529939304)
SRR23609084_2	(1, 32.366120367444346)	(2, 35.862589763427735)	(3, 35.839777048894504)	(4, 36.02505203282154)	(5, 35.986318909435646)	(6, 36.227075591975506)	(7, 36.17793045581841)	(8, 36.198814414453686)	(9, 36.21767699332018)	(10, 36.18827817672634)	(15, 36.19396310300864)	(20, 36.12542797676776)	(25, 36.04382852597282)	(30, 36.10742952413124)	(35, 36.11458989419085)	(40, 36.06764920615895)	(45, 36.08795780710262)	(50, 36.08641262299905)	(55, 36.04058778018721)	(60, 35.97344528108621)	(65, 35.94283036755331)	(70, 35.746907997253984)	(75, 35.91944447471368)	(80, 35.930866632522964)	(85, 35.97805577046715)	(90, 35.90379213024006)	(95, 35.87398358922948)	(100, 35.82323333587594)	(105, 35.63720755374909)	(110, 35.38425503165557)	(115, 34.99539713846724)	(120, 34.82095478865411)	(125, 34.699893210125424)	(130, 34.637535551221)	(135, 34.473979230459086)	(140, 34.503290871645106)	(145, 34.50556070132616)	(150, 31.811870021466945)
SRR23609085_1	(1, 33.60974430752359)	(2, 35.585040835762314)	(3, 36.05548901907593)	(4, 36.38614325704886)	(5, 36.39740555828114)	(6, 36.26958817927333)	(7, 36.29660038671322)	(8, 36.28144930882225)	(9, 36.27033851836888)	(10, 36.314943291679896)	(15, 36.28402787798332)	(20, 36.29419641568786)	(25, 36.1300380941387)	(30, 36.22078727886641)	(35, 36.20457851144267)	(40, 36.09803613171337)	(45, 36.12676979019364)	(50, 36.171681913941875)	(55, 36.159774609679374)	(60, 36.112172808865544)	(65, 36.04298144353699)	(70, 35.93185910940521)	(75, 35.821945975585116)	(80, 35.399852818100484)	(85, 35.62334997546968)	(90, 35.42208882860524)	(95, 35.231879310842395)	(100, 35.09431185247179)	(105, 35.00642261406597)	(110, 34.798228045366656)	(115, 34.4130804305792)	(120, 34.359193096880325)	(125, 34.276892441776575)	(130, 34.18511875559147)	(135, 33.94607947822574)	(140, 34.05566217425182)	(145, 34.00293930911085)	(150, 31.823778534530028)
SRR23609085_2	(1, 32.33031514242013)	(2, 35.92307581310785)	(3, 35.871807451444404)	(4, 36.1025150789299)	(5, 36.05623935817148)	(6, 36.29566967764278)	(7, 36.235866208767426)	(8, 36.24034659894375)	(9, 36.22505122507287)	(10, 36.21538916625782)	(15, 36.23753138437563)	(20, 36.15813252142796)	(25, 36.07386366915817)	(30, 36.13242186372688)	(35, 36.13978384462209)	(40, 36.07488095581657)	(45, 36.097317537733396)	(50, 36.10275605321636)	(55, 36.06205592912181)	(60, 35.997862976537476)	(65, 35.977224322530375)	(70, 35.74440275893913)	(75, 35.9674583706098)	(80, 35.94846613373351)	(85, 36.00161178609564)	(90, 35.91550027416236)	(95, 35.873684742143084)	(100, 35.846798072205715)	(105, 35.6890897809587)	(110, 35.48767856627514)	(115, 35.20021500101007)	(120, 35.03672476984791)	(125, 34.900324665954805)	(130, 34.782504112435426)	(135, 34.600652217829214)	(140, 34.543926582205415)	(145, 34.5030201148596)	(150, 31.56937750714265)
SRR23609086_1	(1, 29.943915527090184)	(2, 29.943915527090184)	(3, 29.943915527090184)	(4, 29.943915527090184)	(5, 29.943915527090184)	(6, 29.943915527090184)	(7, 29.943915527090184)	(8, 29.943915527090184)	(9, 29.943915527090184)	(10, 29.943915527090184)	(15, 29.943915527090184)	(20, 29.943915527090184)	(25, 29.943915527090184)	(30, 29.943915527090184)	(35, 29.943915527090184)	(40, 29.943915527090184)	(45, 29.943915527090184)	(50, 29.943915527090184)	(55, 29.943915527090184)	(60, 29.943915527090184)	(65, 29.943915527090184)	(70, 29.943915527090184)	(75, 29.943915527090184)	(80, 29.943915527090184)	(85, 29.943915527090184)	(90, 29.943915527090184)	(95, 29.943915527090184)	(100, 29.943915527090184)	(105, 29.943915527090184)	(110, 29.943915527090184)	(115, 29.943915527090184)	(120, 29.943915527090184)	(125, 29.943915527090184)	(130, 29.943915527090184)	(135, 29.943915527090184)	(140, 29.943915527090184)	(145, 29.943915527090184)	(150, 29.943915527090184)
SRR23609086_2	(1, 29.91848506756)	(2, 29.91848506756)	(3, 29.91848506756)	(4, 29.91848506756)	(5, 29.91848506756)	(6, 29.91848506756)	(7, 29.91848506756)	(8, 29.91848506756)	(9, 29.91848506756)	(10, 29.91848506756)	(15, 29.91848506756)	(20, 29.91848506756)	(25, 29.91848506756)	(30, 29.91848506756)	(35, 29.91848506756)	(40, 29.91848506756)	(45, 29.91848506756)	(50, 29.91848506756)	(55, 29.91848506756)	(60, 29.91848506756)	(65, 29.91848506756)	(70, 29.91848506756)	(75, 29.91848506756)	(80, 29.91848506756)	(85, 29.91848506756)	(90, 29.91848506756)	(95, 29.91848506756)	(100, 29.91848506756)	(105, 29.91848506756)	(110, 29.91848506756)	(115, 29.91848506756)	(120, 29.91848506756)	(125, 29.91848506756)	(130, 29.91848506756)	(135, 29.91848506756)	(140, 29.91848506756)	(145, 29.91848506756)	(150, 29.91848506756)
