Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR23609077_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0007688463460577404)	(6, 0.0007688463460577404)	(7, 0.0007688463460577404)	(8, 0.0007688463460577404)	(9, 0.0007688463460577404)	(10, 0.0007688463460577404)	(12, 0.0011532695190866107)	(14, 0.0015376926921154808)	(16, 0.0015376926921154808)	(18, 0.0015376926921154808)	(20, 0.0015376926921154808)	(22, 0.001922115865144351)	(24, 0.002306539038173221)	(26, 0.002306539038173221)	(28, 0.002306539038173221)	(30, 0.002306539038173221)	(32, 0.002306539038173221)	(34, 0.002306539038173221)	(36, 0.002306539038173221)	(38, 0.002306539038173221)	(40, 0.002306539038173221)	(42, 0.0030753853842309616)	(44, 0.0030753853842309616)	(46, 0.0030753853842309616)	(48, 0.0030753853842309616)	(50, 0.0030753853842309616)	(52, 0.003459808557259832)	(54, 0.004228654903317572)	(56, 0.004613078076346442)	(58, 0.006150770768461922)	(60, 0.007688463460577404)	(62, 0.008072886633606273)	(64, 0.008457309806635144)	(66, 0.008457309806635144)	(68, 0.008457309806635144)	(70, 0.008457309806635144)	(72, 0.008457309806635144)	(74, 0.009226156152692884)	(76, 0.010379425671779494)	(78, 0.011917118363894976)	(80, 0.016914619613270288)	(82, 0.01922115865144351)	(84, 0.02152769768961673)	(86, 0.026909622112020914)	(88, 0.17837235228539577)	(90, 0.1791411986314535)	(92, 0.17991004497751126)	(94, 0.18452312305385768)	(96, 0.18913620113020413)	(98, 0.19298043286049282)	(100, 0.1945181255526083)	(102, 0.19759351093683927)	(104, 0.20182216584015683)	(106, 0.2052819743974167)	(108, 0.20835735978164763)	(110, 0.21181716833890746)	(112, 0.21950563179948487)	(114, 0.22488755622188905)	(116, 0.2268096720870334)	(118, 0.2810133394841041)	(120, 0.3409833544766079)	(122, 0.9552915849767424)	(124, 1.5526851958636065)	(126, 1.5615269288432705)	(128, 1.5738284703801946)	(130, 1.5757505862453387)	(132, 1.5761350094183677)	(134, 1.5761350094183677)	(136, 1.5761350094183677)	(138, 1.5761350094183677)
SRR23609077_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0007688463460577404)	(6, 0.0007688463460577404)	(7, 0.0007688463460577404)	(8, 0.0007688463460577404)	(9, 0.0007688463460577404)	(10, 0.0007688463460577404)	(12, 0.0011532695190866107)	(14, 0.0015376926921154808)	(16, 0.0015376926921154808)	(18, 0.0015376926921154808)	(20, 0.0015376926921154808)	(22, 0.001922115865144351)	(24, 0.002306539038173221)	(26, 0.002306539038173221)	(28, 0.002306539038173221)	(30, 0.002306539038173221)	(32, 0.002306539038173221)	(34, 0.002306539038173221)	(36, 0.002306539038173221)	(38, 0.002306539038173221)	(40, 0.002306539038173221)	(42, 0.0030753853842309616)	(44, 0.0030753853842309616)	(46, 0.0030753853842309616)	(48, 0.0030753853842309616)	(50, 0.0030753853842309616)	(52, 0.003459808557259832)	(54, 0.004228654903317572)	(56, 0.004613078076346442)	(58, 0.006150770768461922)	(60, 0.007688463460577404)	(62, 0.008072886633606273)	(64, 0.008457309806635144)	(66, 0.008457309806635144)	(68, 0.008457309806635144)	(70, 0.008457309806635144)	(72, 0.008457309806635144)	(74, 0.009226156152692884)	(76, 0.010379425671779494)	(78, 0.011917118363894976)	(80, 0.016914619613270288)	(82, 0.01922115865144351)	(84, 0.02152769768961673)	(86, 0.026909622112020914)	(88, 0.1791411986314535)	(90, 0.17991004497751126)	(92, 0.18067889132356899)	(94, 0.18529196939991543)	(96, 0.18990504747626186)	(98, 0.19374927920655058)	(100, 0.19528697189866606)	(102, 0.19836235728289703)	(104, 0.2025910121862146)	(106, 0.20605082074347442)	(108, 0.20912620612770538)	(110, 0.21297043785799408)	(112, 0.22104332449160036)	(114, 0.22642524891400453)	(116, 0.22834736477914888)	(118, 0.28178218583016185)	(120, 0.3409833544766079)	(122, 0.9637488947833774)	(124, 1.5695998154768769)	(126, 1.5784415484565408)	(128, 1.589974243647407)	(130, 1.5918963595125515)	(132, 1.5922807826855803)	(134, 1.5922807826855803)	(136, 1.5922807826855803)	(138, 1.5922807826855803)
SRR23609078_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.00039286556140488726)	(52, 0.0007857311228097745)	(54, 0.0007857311228097745)	(56, 0.0007857311228097745)	(58, 0.0027500589298342106)	(60, 0.003928655614048872)	(62, 0.003928655614048872)	(64, 0.003928655614048872)	(66, 0.003928655614048872)	(68, 0.003928655614048872)	(70, 0.003928655614048872)	(72, 0.004321521175453759)	(74, 0.005107252298263534)	(76, 0.006678714543883083)	(78, 0.009428773473717294)	(80, 0.013357429087766166)	(82, 0.013357429087766166)	(84, 0.014928891333385715)	(86, 0.015321756894790602)	(88, 0.05264398522825489)	(90, 0.05264398522825489)	(92, 0.053429716351064666)	(94, 0.06207275870197218)	(96, 0.06521568319321128)	(98, 0.06757287656164061)	(100, 0.0679657421230455)	(102, 0.06953720436866505)	(104, 0.07189439773709437)	(106, 0.07543018778973835)	(108, 0.0770016500353579)	(110, 0.07778738115816768)	(112, 0.080144574526597)	(114, 0.08289463345643121)	(116, 0.08525182682486053)	(118, 0.10646656714072444)	(120, 0.13003850082501767)	(122, 0.42115188182603913)	(124, 0.7079437416516068)	(126, 0.7087294727744166)	(128, 0.7126581283884654)	(130, 0.7126581283884654)	(132, 0.7134438595112752)	(134, 0.7134438595112752)	(136, 0.7134438595112752)	(138, 0.7134438595112752)
SRR23609078_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.00039286556140488726)	(52, 0.0007857311228097745)	(54, 0.0007857311228097745)	(56, 0.0007857311228097745)	(58, 0.0027500589298342106)	(60, 0.003928655614048872)	(62, 0.003928655614048872)	(64, 0.003928655614048872)	(66, 0.003928655614048872)	(68, 0.003928655614048872)	(70, 0.003928655614048872)	(72, 0.003928655614048872)	(74, 0.004321521175453759)	(76, 0.005892983421073309)	(78, 0.00864304235090752)	(80, 0.012571697964956392)	(82, 0.012571697964956392)	(84, 0.01414316021057594)	(86, 0.014536025771980828)	(88, 0.053429716351064666)	(90, 0.053429716351064666)	(92, 0.05421544747387444)	(94, 0.06207275870197219)	(96, 0.06403708650899662)	(98, 0.06600141431602105)	(100, 0.06639427987742594)	(102, 0.0679657421230455)	(104, 0.07032293549147482)	(106, 0.0738587255441188)	(108, 0.07543018778973835)	(110, 0.0770016500353579)	(112, 0.07935884340378722)	(114, 0.08210890233362143)	(116, 0.08446609570205076)	(118, 0.10685943270212933)	(120, 0.13160996307063721)	(122, 0.42979492417694665)	(124, 0.7228726329849925)	(126, 0.7236583641078023)	(128, 0.7275870197218511)	(130, 0.7275870197218511)	(132, 0.7283727508446609)	(134, 0.7283727508446609)	(136, 0.7283727508446609)	(138, 0.7283727508446609)
SRR23609079_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006595000989250148)	(36, 0.0026380003957000592)	(38, 0.0026380003957000592)	(40, 0.0026380003957000592)	(42, 0.0026380003957000592)	(44, 0.0026380003957000592)	(46, 0.003957000593550089)	(48, 0.003957000593550089)	(50, 0.003957000593550089)	(52, 0.003957000593550089)	(54, 0.004616500692475104)	(56, 0.0052760007914001185)	(58, 0.007254501088175163)	(60, 0.012530501879575282)	(62, 0.013190001978500296)	(64, 0.014509002176350327)	(66, 0.014509002176350327)	(68, 0.014509002176350327)	(70, 0.014509002176350327)	(72, 0.014509002176350327)	(74, 0.015828002374200355)	(76, 0.018466002769900416)	(78, 0.019785002967750445)	(80, 0.022423003363450503)	(82, 0.029677504451625668)	(84, 0.03165600474840071)	(86, 0.03825100573765086)	(88, 0.21697553254632987)	(90, 0.21763503264525488)	(92, 0.221592033238805)	(94, 0.2308250346237552)	(96, 0.24137703620655543)	(98, 0.25061003759150563)	(100, 0.25061003759150563)	(102, 0.2618215392732309)	(104, 0.26907604036140603)	(106, 0.2723735408560311)	(108, 0.2756710413506562)	(110, 0.27699004154850626)	(112, 0.2875420431313065)	(114, 0.29545604431840666)	(116, 0.29941304491195675)	(118, 0.35085405262810787)	(120, 0.400316560047484)	(122, 1.0129921519488227)	(124, 1.6203917430587613)	(126, 1.6263272439490866)	(128, 1.640176746026512)	(130, 1.643474246521137)	(132, 1.644793246718987)	(134, 1.644793246718987)	(136, 1.644793246718987)	(138, 1.644793246718987)
SRR23609079_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0006595000989250148)	(36, 0.0026380003957000592)	(38, 0.0026380003957000592)	(40, 0.0026380003957000592)	(42, 0.0026380003957000592)	(44, 0.0026380003957000592)	(46, 0.003957000593550089)	(48, 0.003957000593550089)	(50, 0.003957000593550089)	(52, 0.003957000593550089)	(54, 0.004616500692475104)	(56, 0.0052760007914001185)	(58, 0.007254501088175163)	(60, 0.012530501879575282)	(62, 0.013190001978500296)	(64, 0.014509002176350327)	(66, 0.014509002176350327)	(68, 0.014509002176350327)	(70, 0.014509002176350327)	(72, 0.014509002176350327)	(74, 0.015828002374200355)	(76, 0.018466002769900416)	(78, 0.019785002967750445)	(80, 0.022423003363450503)	(82, 0.029677504451625668)	(84, 0.03165600474840071)	(86, 0.03825100573765086)	(88, 0.21565653234847984)	(90, 0.21631603244740485)	(92, 0.22027303304095497)	(94, 0.22950603442590517)	(96, 0.24071753610763041)	(98, 0.25061003759150563)	(100, 0.25061003759150563)	(102, 0.2618215392732309)	(104, 0.26907604036140603)	(106, 0.2723735408560311)	(108, 0.2756710413506562)	(110, 0.27699004154850626)	(112, 0.2875420431313065)	(114, 0.29545604431840666)	(116, 0.29941304491195675)	(118, 0.3488755523313328)	(120, 0.39767855965178395)	(122, 1.018927652839148)	(124, 1.6335817450372616)	(126, 1.6395172459275869)	(128, 1.652047747807162)	(130, 1.6553452483017872)	(132, 1.6573237485985621)	(134, 1.6579832486974873)	(136, 1.6579832486974873)	(138, 1.6579832486974873)
SRR23609080_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0007186334466378734)	(44, 0.0007186334466378734)	(46, 0.0007186334466378734)	(48, 0.0010779501699568102)	(50, 0.0014372668932757468)	(52, 0.0014372668932757468)	(54, 0.0014372668932757468)	(56, 0.0014372668932757468)	(58, 0.0017965836165946835)	(60, 0.002515217063232557)	(62, 0.0028745337865514935)	(64, 0.0028745337865514935)	(66, 0.003593167233189367)	(68, 0.003593167233189367)	(70, 0.003952483956508304)	(72, 0.004671117403146177)	(74, 0.005030434126465114)	(76, 0.005389750849784051)	(78, 0.005749067573102987)	(80, 0.008264284636335543)	(82, 0.010779501699568102)	(84, 0.010779501699568102)	(86, 0.010779501699568102)	(88, 0.05102297471128901)	(90, 0.05174160815792689)	(92, 0.05246024160456476)	(94, 0.05605340883775413)	(96, 0.05784999245434881)	(98, 0.059646576070943494)	(100, 0.059646576070943494)	(102, 0.061802476410857114)	(104, 0.06503632692072756)	(106, 0.06611427709068435)	(108, 0.06683291053732222)	(110, 0.06719222726064117)	(112, 0.06862949415391692)	(114, 0.06934812760055478)	(116, 0.07006676104719266)	(118, 0.08982918082973418)	(120, 0.10815433371899996)	(122, 0.2763145602322623)	(124, 0.44088161951233534)	(126, 0.44195956968229216)	(128, 0.44375615329888685)	(130, 0.44483410346884367)	(132, 0.44483410346884367)	(134, 0.44483410346884367)	(136, 0.44483410346884367)	(138, 0.44483410346884367)
SRR23609080_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0007186334466378734)	(44, 0.0007186334466378734)	(46, 0.0007186334466378734)	(48, 0.0010779501699568102)	(50, 0.0014372668932757468)	(52, 0.0014372668932757468)	(54, 0.0014372668932757468)	(56, 0.0014372668932757468)	(58, 0.0017965836165946835)	(60, 0.002515217063232557)	(62, 0.0028745337865514935)	(64, 0.0028745337865514935)	(66, 0.003593167233189367)	(68, 0.003593167233189367)	(70, 0.003952483956508304)	(72, 0.004671117403146177)	(74, 0.005030434126465114)	(76, 0.005389750849784051)	(78, 0.005749067573102987)	(80, 0.008264284636335543)	(82, 0.010779501699568102)	(84, 0.010779501699568102)	(86, 0.010779501699568102)	(88, 0.05102297471128901)	(90, 0.05174160815792689)	(92, 0.05246024160456476)	(94, 0.05605340883775413)	(96, 0.05784999245434881)	(98, 0.059646576070943494)	(100, 0.059646576070943494)	(102, 0.061802476410857114)	(104, 0.06503632692072756)	(106, 0.06611427709068435)	(108, 0.06683291053732222)	(110, 0.06719222726064117)	(112, 0.06862949415391692)	(114, 0.06934812760055478)	(116, 0.07006676104719266)	(118, 0.08982918082973418)	(120, 0.10815433371899996)	(122, 0.2809856776354085)	(124, 0.44950522087198985)	(126, 0.4505831710419466)	(128, 0.4523797546585413)	(130, 0.4534577048284981)	(132, 0.4534577048284981)	(134, 0.4534577048284981)	(136, 0.4534577048284981)	(138, 0.4534577048284981)
