Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609082_1	(1, 0.0)	(2, 0.0026224693171089898)	(3, 0.011801111926990454)	(4, 0.0)	(5, 0.0)	(6, 0.06293926361061575)	(7, 0.0)	(8, 0.007867407951326968)	(9, 0.0)	(10, 0.0028847162488198886)	(15, 0.001573481590265394)	(20, 0.00026224693171089897)	(25, 0.0041959509073743835)	(30, 0.000786740795132697)	(35, 0.007342914087905172)	(40, 0.0028847162488198886)	(45, 0.003146963180530788)	(50, 0.0019152947228158117)	(55, 0.0015158313425415034)	(60, 0.004830601168315397)	(65, 0.005298334052392955)	(70, 0.003420193582956795)	(75, 0.008387982308982765)	(80, 0.0026777141501891613)	(85, 0.009587838019229368)	(90, 0.003844054401057884)	(95, 0.0023123793227040963)	(100, 0.004638828541165738)	(105, 0.001551024839662807)	(110, 0.002722750133220274)	(115, 0.008592239645374837)	(120, 0.0)	(125, 0.003542093849744379)	(130, 0.0)	(135, 0.00039743100597736233)	(140, 0.0)	(145, 0.00040432302174853537)	(150, 0.0)
SRR23609082_2	(1, 0.0)	(2, 0.003933703975663484)	(3, 0.003933703975663484)	(4, 0.0)	(5, 0.0)	(6, 0.0013112346585544949)	(7, 0.0026224693171089898)	(8, 0.003933703975663484)	(9, 0.007867407951326968)	(10, 0.007605161019616071)	(15, 0.0013112346585544949)	(20, 0.0020979754536871917)	(25, 0.007605161019616071)	(30, 0.0026224693171089898)	(35, 0.005507185565928879)	(40, 0.004982691702507081)	(45, 0.004458197839085283)	(50, 0.007664093720917501)	(55, 0.0018212116521121502)	(60, 0.0041470688862700915)	(65, 0.007579231390144726)	(70, 0.000761307316924623)	(75, 0.0041989380503948915)	(80, 0.0003825642516660673)	(85, 0.0030665204958563643)	(90, 0.004223216171078648)	(95, 0.0003846849238131508)	(100, 0.003468114540262883)	(105, 0.0030884811235894327)	(110, 0.0007735477607726195)	(115, 0.003100450728024587)	(120, 0.0003883238776469126)	(125, 0.005447407228709393)	(130, 0.0023394275420804533)	(135, 0.0027354756015115457)	(140, 0.001175226231049477)	(145, 0.006289604855574948)	(150, 0.0)
SRR23609083_1	(1, 0.0)	(2, 0.0019075232717839156)	(3, 0.024797802533190902)	(4, 0.0)	(5, 0.0038150465435678313)	(6, 0.06485579124065313)	(7, 0.0)	(8, 0.005722569815351747)	(9, 0.0)	(10, 0.0026705325804974823)	(15, 0.0026705325804974823)	(20, 0.0)	(25, 0.0045780558522813975)	(30, 0.0007630093087135663)	(35, 0.0045780558522813975)	(40, 0.003052037234854265)	(45, 0.0026705325804974823)	(50, 0.0007975117632985086)	(55, 0.0035616816479900988)	(60, 0.0071421283542495665)	(65, 0.003923261014555299)	(70, 0.002815220206524554)	(75, 0.006778971630003728)	(80, 0.005667906048789335)	(85, 0.007391697418023232)	(90, 0.006842090258573994)	(95, 0.0011439029970258523)	(100, 0.005744914314602998)	(105, 0.0)	(110, 0.001735317765604845)	(115, 0.006973784382209876)	(120, 0.0)	(125, 0.0047018442984260575)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR23609083_2	(1, 0.0)	(2, 0.0038150465435678313)	(3, 0.005722569815351747)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0038150465435678313)	(9, 0.013352662902487409)	(10, 0.0045780558522813975)	(15, 0.0011445139630703494)	(20, 0.0022890279261406988)	(25, 0.0045780558522813975)	(30, 0.0019075232717839156)	(35, 0.005722569815351747)	(40, 0.005341065160994965)	(45, 0.004959560506638181)	(50, 0.009173616678432826)	(55, 0.004009551643025162)	(60, 0.004593406929919922)	(65, 0.009531285041489123)	(70, 0.0022530514765936116)	(75, 0.003955606790081599)	(80, 0.0)	(85, 0.003974337137341737)	(90, 0.005688799890775042)	(95, 0.0)	(100, 0.002854940474491107)	(105, 0.0034324550062356267)	(110, 0.0011462697516606583)	(115, 0.0022973718066531886)	(120, 0.0)	(125, 0.004037933501003715)	(130, 0.0023119382712481575)	(135, 0.002316356371427744)	(140, 0.0)	(145, 0.009898107714701601)	(150, 0.0)
SRR23609084_1	(1, 0.0)	(2, 0.004995628824778319)	(3, 0.013737979268140379)	(4, 0.0)	(5, 0.0012489072061945797)	(6, 0.08117896840264768)	(7, 0.0)	(8, 0.011240164855751217)	(9, 0.0)	(10, 0.0029973772948669914)	(15, 0.0019982515299113274)	(20, 0.0)	(25, 0.0034969401773448233)	(30, 0.0007493443237167478)	(35, 0.006494317472211815)	(40, 0.0029973772948669914)	(45, 0.0032471587361059076)	(50, 0.0028308709045661946)	(55, 0.002788933511825078)	(60, 0.003637465898757199)	(65, 0.005130770513461859)	(70, 0.0028960603925127187)	(75, 0.005485463521667581)	(80, 0.0035609422900743587)	(85, 0.01038657535135837)	(90, 0.0039054744988788036)	(95, 0.00326376083160626)	(100, 0.005240334857397388)	(105, 0.0013144274846787047)	(110, 0.0013198183929891247)	(115, 0.005967279417858741)	(120, 0.0)	(125, 0.007708678967037017)	(130, 0.0006740633889210941)	(135, 0.0003395758697386964)	(140, 0.0)	(145, 0.0006888451854887873)	(150, 0.0)
SRR23609084_2	(1, 0.0)	(2, 0.0012489072061945797)	(3, 0.003746721618583739)	(4, 0.0)	(5, 0.0)	(6, 0.0024978144123891594)	(7, 0.003746721618583739)	(8, 0.0024978144123891594)	(9, 0.006244536030972898)	(10, 0.008492569002123142)	(15, 0.0014986886474334957)	(20, 0.0024978144123891594)	(25, 0.007243661795928563)	(30, 0.0022480329711502436)	(35, 0.006494317472211815)	(40, 0.0057449731484950665)	(45, 0.004995628824778319)	(50, 0.011067527359957172)	(55, 0.0016746725317420223)	(60, 0.004548997249372996)	(65, 0.008339962534322154)	(70, 0.002576099592010227)	(75, 0.0035519963834218645)	(80, 0.00032366125612933507)	(85, 0.003243067942273391)	(90, 0.003574933863723521)	(95, 0.0013026473049855569)	(100, 0.00293611981978749)	(105, 0.001634718812017145)	(110, 0.0006553659727433292)	(115, 0.0006567109289832802)	(120, 0.00032911192438324425)	(125, 0.003299589531062336)	(130, 0.001653450088955615)	(135, 0.0013256314148132682)	(140, 0.0)	(145, 0.004333434446803759)	(150, 0.0)
SRR23609085_1	(1, 0.0)	(2, 0.0016631186801490153)	(3, 0.02827301756253326)	(4, 0.0)	(5, 0.0)	(6, 0.06319850984566258)	(7, 0.0)	(8, 0.008315593400745077)	(9, 0.0)	(10, 0.005321979776476849)	(15, 0.0023283661522086217)	(20, 0.00033262373602980307)	(25, 0.0026609898882384245)	(30, 0.0009978712080894092)	(35, 0.008315593400745077)	(40, 0.004656732304417243)	(45, 0.003658861096327834)	(50, 0.0027318765601576293)	(55, 0.003657122795212095)	(60, 0.005527173955956319)	(65, 0.007524800488275944)	(70, 0.0037741704163748676)	(75, 0.011354843050836054)	(80, 0.005482479261467871)	(85, 0.011834319526627219)	(90, 0.006779804656878325)	(95, 0.00042467172875367346)	(100, 0.006390130230854104)	(105, 0.0017086277156501755)	(110, 0.001715155543168321)	(115, 0.01334705353029566)	(120, 0.0)	(125, 0.00737853627201625)	(130, 0.0013074231126257848)	(135, 0.000876623945859705)	(140, 0.0)	(145, 0.0026575130107407818)	(150, 0.0)
SRR23609085_2	(1, 0.0)	(2, 0.0)	(3, 0.008315593400745077)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.006652474720596061)	(8, 0.0033262373602980307)	(9, 0.011641830761043108)	(10, 0.011974454497072911)	(15, 0.0019957424161788184)	(20, 0.0026609898882384245)	(25, 0.009313464608834487)	(30, 0.0019957424161788184)	(35, 0.006652474720596061)	(40, 0.008315593400745077)	(45, 0.005321979776476849)	(50, 0.008878235006880631)	(55, 0.004024557115782849)	(60, 0.004343225358118673)	(65, 0.007941118694647269)	(70, 0.0020982043567115264)	(75, 0.004629512722742692)	(80, 0.0008436184482482263)	(85, 0.005494621610769458)	(90, 0.005502738670707653)	(95, 0.0008479894170920747)	(100, 0.002972512749956474)	(105, 0.0017013457644997193)	(110, 0.0017047537057083679)	(115, 0.001708095089653641)	(120, 0.0008555893513349334)	(125, 0.00471722387086814)	(130, 0.00386823917752639)	(135, 0.0034449645383962824)	(140, 0.0004315646375935956)	(145, 0.006925897228342503)	(150, 0.0)
SRR23609086_1	(1, 0.0)	(2, 0.0010616838305552605)	(3, 0.01380188979721839)	(4, 0.0)	(5, 0.002123367661110521)	(6, 0.05626924301942881)	(7, 0.0)	(8, 0.010616838305552606)	(9, 0.0)	(10, 0.0036097250238878863)	(15, 0.0023357044272215737)	(20, 0.0)	(25, 0.0036097250238878863)	(30, 0.0008493470644442086)	(35, 0.007431786813886824)	(40, 0.0033973882577768345)	(45, 0.005308419152776303)	(50, 0.0024024181430618166)	(55, 0.0026013214713074243)	(60, 0.005654582139231233)	(65, 0.006561841252655496)	(70, 0.0024730030500370952)	(75, 0.007162909353382133)	(80, 0.005795309662712978)	(85, 0.009394574909300905)	(90, 0.0038725167486349382)	(95, 0.0022149988648130815)	(100, 0.003878932960955769)	(105, 0.0011090593513111854)	(110, 0.0005549112419468506)	(115, 0.008050501629532572)	(120, 0.000277736888735825)	(125, 0.008334537210930469)	(130, 0.0005558628241722508)	(135, 0.0002779839492067728)	(140, 0.0)	(145, 0.0005560560059609203)	(150, 0.0)
SRR23609086_2	(1, 0.0)	(2, 0.002123367661110521)	(3, 0.003185051491665782)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0010616838305552605)	(8, 0.005308419152776303)	(9, 0.010616838305552606)	(10, 0.009767491241108399)	(15, 0.0012740205966663128)	(20, 0.00297271472555473)	(25, 0.00997982800721945)	(30, 0.0025480411933326255)	(35, 0.006370102983331564)	(40, 0.007856460346108929)	(45, 0.00403439855610999)	(50, 0.01244772501446775)	(55, 0.0037832393040731303)	(60, 0.005910788216458204)	(65, 0.008747208410440887)	(70, 0.002197711632762386)	(75, 0.005508534096448923)	(80, 0.0002758788119554842)	(85, 0.004695795329617209)	(90, 0.003041698927109833)	(95, 0.000830362480901663)	(100, 0.0027698222328090983)	(105, 0.001385866929057472)	(110, 0.0011094684813872794)	(115, 0.0016651356669284629)	(120, 0.0008329746914522913)	(125, 0.006666222251849876)	(130, 0.0033341483473738024)	(135, 0.0038904666892684257)	(140, 0.0002779167361458507)	(145, 0.008059786943700999)	(150, 0.0)
