Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR23609082_1	(1, 33.920840763663065)	(2, 35.93355973985104)	(3, 36.35261722437848)	(4, 36.62625878527221)	(5, 36.6138413930557)	(6, 36.6062231196895)	(7, 36.58053603272842)	(8, 36.587642924577786)	(9, 36.62199727263191)	(10, 36.62025333053603)	(15, 36.60898457988041)	(20, 36.59761355292143)	(25, 36.53406063149062)	(30, 36.58964124619742)	(35, 36.59134847372286)	(40, 36.54813542431553)	(45, 36.593496276093575)	(50, 36.610128096164736)	(55, 36.63625734057049)	(60, 36.52316718941431)	(65, 36.45434532738626)	(70, 36.345326163569624)	(75, 36.23224308993324)	(80, 36.10309189291252)	(85, 36.26872537651324)	(90, 36.23515568244102)	(95, 36.04478616862218)	(100, 36.126339534969446)	(105, 36.10427693266864)	(110, 36.119544953664104)	(115, 35.777907144803905)	(120, 35.87052994096625)	(125, 35.831292086370695)	(130, 35.78603605347828)	(135, 35.391086100722134)	(140, 35.223996888097815)	(145, 35.63049359673171)	(150, 35.981834017668284)
SRR23609082_2	(1, 32.52377268435959)	(2, 36.25038025805098)	(3, 36.209181265079195)	(4, 36.46510804573587)	(5, 36.403007972306725)	(6, 36.61835204028113)	(7, 36.544870450015736)	(8, 36.58894104688975)	(9, 36.60462341340606)	(10, 36.56300220287423)	(15, 36.55788052029792)	(20, 36.505347214937586)	(25, 36.4526355816637)	(30, 36.51639830063988)	(35, 36.53266285534459)	(40, 36.502000944088955)	(45, 36.513198888073006)	(50, 36.495162463398344)	(55, 36.50940764773067)	(60, 36.453909783798395)	(65, 36.40422799683556)	(70, 36.15571415360161)	(75, 36.40176665173262)	(80, 36.43183645822746)	(85, 36.42920554973225)	(90, 36.40999485489813)	(95, 36.36592663811413)	(100, 36.38027674776366)	(105, 36.24685488457212)	(110, 36.19965757642814)	(115, 36.09433623530454)	(120, 36.10478585938366)	(125, 36.08461780837443)	(130, 36.08018566666329)	(135, 35.99070235521197)	(140, 35.82666909505454)	(145, 36.04906012974743)	(150, 35.17609486908536)
SRR23609083_1	(1, 33.98741034640623)	(2, 35.95599343811995)	(3, 36.36553868457195)	(4, 36.58318708988249)	(5, 36.600068670837786)	(6, 36.57902868915001)	(7, 36.510796581718296)	(8, 36.56733557149397)	(9, 36.57282923851671)	(10, 36.59314817640775)	(15, 36.584133221425304)	(20, 36.58524339996948)	(25, 36.51780100717228)	(30, 36.57490080878987)	(35, 36.58377842209675)	(40, 36.53001297115825)	(45, 36.53651381046849)	(50, 36.56603952370425)	(55, 36.59548064878537)	(60, 36.46289582880428)	(65, 36.43629734755609)	(70, 36.32132169471548)	(75, 36.19541299504736)	(80, 36.06448220693942)	(85, 36.23337910992485)	(90, 36.229245318453195)	(95, 35.96674790009713)	(100, 36.07411786343179)	(105, 36.021429020117566)	(110, 36.0499499398497)	(115, 35.67963085810008)	(120, 35.773942924097234)	(125, 35.739524975177474)	(130, 35.692284909993234)	(135, 35.27124933553257)	(140, 35.01985674038532)	(145, 35.60616550011485)	(150, 35.881985224474334)
SRR23609083_2	(1, 32.5908934839005)	(2, 36.256924309476574)	(3, 36.24046238364108)	(4, 36.4872768197772)	(5, 36.38737982603388)	(6, 36.595719517778114)	(7, 36.537921562643064)	(8, 36.59756981535175)	(9, 36.59205707309629)	(10, 36.5661910575309)	(15, 36.56215092324127)	(20, 36.511147566000304)	(25, 36.44833663970701)	(30, 36.50572638486189)	(35, 36.521799175949944)	(40, 36.491061345948424)	(45, 36.49450251793072)	(50, 36.49551316145924)	(55, 36.49124690474481)	(60, 36.4155974601579)	(65, 36.40796286071218)	(70, 36.138988052642475)	(75, 36.39170033268723)	(80, 36.4211934746992)	(85, 36.40505179458755)	(90, 36.40095529634199)	(95, 36.35137091968985)	(100, 36.36588747133355)	(105, 36.201870900624705)	(110, 36.194678982051684)	(115, 36.0057092904651)	(120, 36.02989634175164)	(125, 36.04384528301314)	(130, 36.03945110956927)	(135, 35.94653125012263)	(140, 35.76225667800331)	(145, 36.023505939405666)	(150, 35.12126414631582)
SRR23609084_1	(1, 33.94299987510928)	(2, 35.869614087673284)	(3, 36.3213313350818)	(4, 36.54549768952167)	(5, 36.57286124640939)	(6, 36.57733233420757)	(7, 36.53689271887099)	(8, 36.55114275009367)	(9, 36.56529286873985)	(10, 36.58627450980392)	(15, 36.5728837267391)	(20, 36.58047708255277)	(25, 36.49796178343949)	(30, 36.55185962283002)	(35, 36.544186336955164)	(40, 36.48148370176096)	(45, 36.52097164980642)	(50, 36.51906733675115)	(55, 36.538908843982995)	(60, 36.47953858013193)	(65, 36.43196803976382)	(70, 36.377653390044124)	(75, 36.347262177611974)	(80, 35.9807839251849)	(85, 36.34793811577957)	(90, 36.25514834412007)	(95, 36.1503054275229)	(100, 36.06895683580194)	(105, 36.08804911141019)	(110, 35.91717710925668)	(115, 35.72091686837714)	(120, 35.786856416321925)	(125, 35.624569299864966)	(130, 35.816386518972166)	(135, 35.186263434877546)	(140, 35.64939975740573)	(145, 35.407945001006865)	(150, 36.19587899866543)
SRR23609084_2	(1, 32.636380666916445)	(2, 36.22908704883227)	(3, 36.20497065068066)	(4, 36.42732608967154)	(5, 36.325977269888845)	(6, 36.576795304108906)	(7, 36.52936180841763)	(8, 36.56451854627201)	(9, 36.59049581616086)	(10, 36.56144123891595)	(15, 36.55027351067815)	(20, 36.49742974896965)	(25, 36.43943049831397)	(30, 36.5046584238791)	(35, 36.502033220931686)	(40, 36.46602472836268)	(45, 36.48167603347071)	(50, 36.47131353692297)	(55, 36.462502444063624)	(60, 36.38828181624247)	(65, 36.37666390705985)	(70, 36.1899827025874)	(75, 36.37382083963304)	(80, 36.34655193512529)	(85, 36.42020810521191)	(90, 36.382457534176666)	(95, 36.33416939525267)	(100, 36.32884524136481)	(105, 36.25259234848686)	(110, 36.14446962123118)	(115, 36.06551657322812)	(120, 36.02506107035609)	(125, 35.953245731130366)	(130, 36.05071871061425)	(135, 35.78823223246046)	(140, 35.89346579047066)	(145, 35.82223041945686)	(150, 35.392353182270625)
SRR23609085_1	(1, 33.925309340074506)	(2, 35.90999201703033)	(3, 36.32553885045237)	(4, 36.62461748270356)	(5, 36.62766098988824)	(6, 36.579696647152744)	(7, 36.592352980308675)	(8, 36.63622605109101)	(9, 36.601483501862695)	(10, 36.63120675891432)	(15, 36.604699973390105)	(20, 36.60235830228845)	(25, 36.50285391165514)	(30, 36.58843134646088)	(35, 36.57910790313996)	(40, 36.48192522618414)	(45, 36.51573642895157)	(50, 36.552212910131445)	(55, 36.571389260574016)	(60, 36.54262058017782)	(65, 36.488219886130764)	(70, 36.41471908161633)	(75, 36.416566749447085)	(80, 36.04714778491537)	(85, 36.406455567592886)	(90, 36.26774942089795)	(95, 36.22170141341375)	(100, 36.099807751001535)	(105, 36.14773514554465)	(110, 36.040466807905474)	(115, 35.7433577113855)	(120, 35.89497196001169)	(125, 35.84669138869329)	(130, 35.94719935895195)	(135, 35.41627041716021)	(140, 35.75769175931199)	(145, 35.563691840071584)	(150, 36.18226806271813)
SRR23609085_2	(1, 32.546484167110165)	(2, 36.32156399680681)	(3, 36.226234034060674)	(4, 36.49685670569452)	(5, 36.404753193187865)	(6, 36.6260810271421)	(7, 36.55478312932411)	(8, 36.61836415646621)	(9, 36.596860031931875)	(10, 36.58525478978179)	(15, 36.581931878658864)	(20, 36.51460218201171)	(25, 36.46637506652475)	(30, 36.54119877594466)	(35, 36.54346061734965)	(40, 36.493014901543376)	(45, 36.50952634379989)	(50, 36.51139662935565)	(55, 36.49967083774526)	(60, 36.444691522808384)	(65, 36.43966127573278)	(70, 36.20986591335784)	(75, 36.45653997014155)	(80, 36.42080227087606)	(85, 36.481158788098654)	(90, 36.42704572016934)	(95, 36.37360825000693)	(100, 36.359375199173094)	(105, 36.29141938496635)	(110, 36.19210974662879)	(115, 36.12054068448454)	(120, 36.07294950640534)	(125, 36.080177030033454)	(130, 36.12543599005098)	(135, 35.91865254900938)	(140, 35.97855605780908)	(145, 35.96110297047785)	(150, 35.409385113268605)
SRR23609086_1	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
SRR23609086_2	(1, 30.0)	(2, 30.0)	(3, 30.0)	(4, 30.0)	(5, 30.0)	(6, 30.0)	(7, 30.0)	(8, 30.0)	(9, 30.0)	(10, 30.0)	(15, 30.0)	(20, 30.0)	(25, 30.0)	(30, 30.0)	(35, 30.0)	(40, 30.0)	(45, 30.0)	(50, 30.0)	(55, 30.0)	(60, 30.0)	(65, 30.0)	(70, 30.0)	(75, 30.0)	(80, 30.0)	(85, 30.0)	(90, 30.0)	(95, 30.0)	(100, 30.0)	(105, 30.0)	(110, 30.0)	(115, 30.0)	(120, 30.0)	(125, 30.0)	(130, 30.0)	(135, 30.0)	(140, 30.0)	(145, 30.0)	(150, 30.0)
